launch_ts,version,app_launch_ms,first_paint_ms,backend_http_ready_ms,class
2026-06-02T09:18:13Z,1.1.72,380,1097,54606,cold
2026-06-08T22:16:53Z,1.2.73,143,636,10463,warm
2026-06-08T23:03:47Z,1.2.73,317,625,10084,warm
2026-06-08T23:58:30Z,1.2.73,198,515,81041,cold
2026-06-09T03:13:05Z,1.2.73,147,559,10418,warm
2026-06-09T11:04:12Z,1.2.75,129,609,10041,warm
2026-06-09T11:53:18Z,1.2.75,108,338,8761,warm
2026-06-10T07:44:10Z,1.2.75,388,1100,86310,cold
2026-06-10T07:46:53Z,1.2.76,112,389,9342,warm
2026-06-10T23:32:57Z,1.2.76,563,1205,133070,cold
2026-06-10T23:35:13Z,1.2.77,114,391,9349,warm
2026-06-10T23:35:41Z,1.2.77,122,404,9303,warm
2026-06-14T00:07:35Z,1.2.77,159,1213,138335,cold
2026-06-14T00:09:58Z,1.2.82,107,702,9590,warm
